latitude,longitude,month,HEAT INDEX
12,-1.5,7,88.028854
12,-1.25,7,87.94288
12,-1,7,87.96152
12,-0.75,7,87.73953
12,-0.5,7,87.65721
12,-0.25,7,87.77357
12,0,7,87.79123
12,0.25,7,87.94359
12,0.5,7,87.98466
12,0.75,7,87.92748
12,1,7,87.774475
12,1.25,7,87.653435
12,1.5,7,87.70085
12,1.75,7,87.88824
12,2,7,88.044464
12,2.25,7,88.16841
12,2.5,7,88.42788
12,2.75,7,88.53756
12,3,7,88.507324
12,-5,8,85.498314
12,-4.75,8,85.4162
12,-4.5,8,85.721535
12,-4.25,8,85.72232
12,-4,8,85.584435
12,-3.75,8,85.60311
12,-3.5,8,85.68453
12,-3.25,8,85.69335
12,-3,8,85.55217
12,-2.75,8,85.39376
12,-2.5,8,85.21466
12,-2.25,8,85.382835
12,-2,8,85.456825
12,-1.75,8,85.43047
12,-1.5,8,85.47781
12,-1.25,8,85.40718
12,-1,8,85.4087
12,-0.75,8,85.20861
12,-0.5,8,85.1895
12,-0.25,8,85.26762
12,0,8,85.24313
12,0.25,8,85.32555
12,0.5,8,85.277725
12,0.75,8,85.163185
12,1,8,84.92273
12,1.25,8,84.76048
12,1.5,8,84.75753
12,1.75,8,84.91217
12,2,8,85.063805
12,2.25,8,85.17623
12,2.5,8,85.47696
12,2.75,8,85.63375
12,3,8,85.62747
12,-5,9,89.377426
12,-4.75,9,89.421
12,-4.5,9,89.78621
12,-4.25,9,89.61733
12,-4,9,89.450615
12,-3.75,9,89.610664
12,-3.5,9,89.746864
12,-3.25,9,89.710144
12,-3,9,89.448425
12,-2.75,9,89.21045
12,-2.5,9,88.96581
12,-2.25,9,89.14854
12,-2,9,89.32887
12,-1.75,9,89.231834
12,-1.5,9,89.21292
12,-1.25,9,89.10367
12,-1,9,89.063156
12,-0.75,9,88.77714
12,-0.5,9,88.67406
12,-0.25,9,88.85504
12,0,9,88.913345
12,0.25,9,89.18806
12,0.5,9,89.21404
12,0.75,9,89.01101
12,1,9,88.79861
12,1.25,9,88.60692
12,1.5,9,88.73059
12,1.75,9,88.98066
12,2,9,89.15161
12,2.25,9,89.352615
12,2.5,9,89.59192
12,2.75,9,89.65941
12,3,9,89.58658
12,-5,10,94.33132
12,-4.75,10,94.866585
12,-4.5,10,95.1215
12,-4.25,10,94.035095
12,-4,10,93.97299
12,-3.75,10,94.415344
12,-3.5,10,94.44675
12,-3.25,10,94.051926
12,-3,10,93.562836
12,-2.75,10,93.59166
12,-2.5,10,93.511116
12,-2.25,10,93.58995
12,-2,10,93.889404
12,-1.75,10,93.68814
12,-1.5,10,93.66434
12,-1.25,10,93.47639
12,-1,10,93.06149
12,-0.75,10,92.9104
12,-0.5,10,92.82273
12,-0.25,10,92.940414
12,0,10,92.94221
12,0.25,10,93.32794
12,0.5,10,93.543335
12,0.75,10,93.15706
12,1,10,93.00113
12,1.25,10,92.73331
12,1.5,10,93.085464
12,1.75,10,93.42369
12,2,10,93.23272
12,2.25,10,93.48462
12,2.5,10,93.43035
12,2.75,10,93.152695
12,3,10,93.179214
12,-5,11,87.92594
12,-4.75,11,88.28741
12,-4.5,11,88.025696
12,-4.25,11,87.35212
12,-4,11,87.54897
12,-3.75,11,87.85021
12,-3.5,11,87.86827
12,-3.25,11,87.60445
12,-3,11,87.54871
12,-2.75,11,87.79681
12,-2.5,11,87.74255
12,-2.25,11,87.80973
12,-2,11,87.837265
12,-1.75,11,87.68223
12,-1.5,11,87.59351
12,-1.25,11,87.42851
12,-1,11,87.28693
12,-0.75,11,87.216286
12,-0.5,11,87.20384
12,-0.25,11,87.22495
12,0,11,87.23576
12,0.25,11,87.385605
12,0.5,11,87.46185
12,0.75,11,87.372826
12,1,11,87.3345
12,1.25,11,87.318665
12,1.5,11,87.42174
12,1.75,11,87.45821
12,2,11,87.35043
12,2.25,11,87.30143
12,2.5,11,87.127045
12,2.75,11,86.91667
12,3,11,86.86794
12,-5,12,82.13188
12,-4.75,12,82.2723
12,-4.5,12,82.21899
12,-4.25,12,81.89552
12,-4,12,81.76942
12,-3.75,12,81.91441
12,-3.5,12,82.077835
12,-3.25,12,82.01366
12,-3,12,81.85829
12,-2.75,12,81.90344
12,-2.5,12,81.96615
12,-2.25,12,82.02287
12,-2,12,81.98579
12,-1.75,12,81.86435
12,-1.5,12,81.767555
12,-1.25,12,81.71891
12,-1,12,81.76433
12,-0.75,12,81.751236
12,-0.5,12,81.72763
12,-0.25,12,81.7341
12,0,12,81.77794
12,0.25,12,81.891266
12,0.5,12,81.95187
12,0.75,12,81.99759
12,1,12,82.0229
12,1.25,12,82.00297
12,1.5,12,81.94231
12,1.75,12,81.901436
12,2,12,81.88145
12,2.25,12,81.76309
12,2.5,12,81.590485
12,2.75,12,81.42292
12,3,12,81.33025
11.75,-5,1,81.08652
11.75,-4.75,1,81.13329
11.75,-4.5,1,81.04051
11.75,-4.25,1,80.825874
11.75,-4,1,80.83361
11.75,-3.75,1,81.021736
11.75,-3.5,1,81.101715
11.75,-3.25,1,80.97422
11.75,-3,1,80.78691
11.75,-2.75,1,80.86467
11.75,-2.5,1,81.04568
11.75,-2.25,1,81.09539
11.75,-2,1,80.997955
11.75,-1.75,1,80.847176
11.75,-1.5,1,80.73801
11.75,-1.25,1,80.675835
11.75,-1,1,80.69993
11.75,-0.75,1,80.71696
11.75,-0.5,1,80.75106
11.75,-0.25,1,80.775635
11.75,0,1,80.7554
11.75,0.25,1,80.81802
11.75,0.5,1,80.87884
11.75,0.75,1,80.89592
11.75,1,1,80.88345
11.75,1.25,1,80.88301
11.75,1.5,1,80.86328
11.75,1.75,1,80.830124
11.75,2,1,80.81776
11.75,2.25,1,80.743675
11.75,2.5,1,80.617615
11.75,2.75,1,80.46334
11.75,3,1,80.349495
11.75,-5,2,84.83987
11.75,-4.75,2,84.86422
11.75,-4.5,2,84.77653
11.75,-4.25,2,84.55796
11.75,-4,2,84.567505
11.75,-3.75,2,84.74209
11.75,-3.5,2,84.80016
11.75,-3.25,2,84.67917
11.75,-3,2,84.465614
11.75,-2.75,2,84.56765
11.75,-2.5,2,84.789955
11.75,-2.25,2,84.85194
11.75,-2,2,84.75662
11.75,-1.75,2,84.60137
11.75,-1.5,2,84.49332
11.75,-1.25,2,84.42178
11.75,-1,2,84.454475
11.75,-0.75,2,84.46003
11.75,-0.5,2,84.49824
11.75,-0.25,2,84.50852
11.75,0,2,84.45949
11.75,0.25,2,84.52935
11.75,0.5,2,84.58116
11.75,0.75,2,84.617294
11.75,1,2,84.620255
11.75,1.25,2,84.63785
11.75,1.5,2,84.631096
11.75,1.75,2,84.59017
11.75,2,2,84.59743
11.75,2.25,2,84.53142
11.75,2.5,2,84.420525
