lon,lat,precip,month
-5.0,12.0,0.0,1
-5.0,11.75,0.0,1
-5.0,11.5,0.0,1
-5.0,11.25,0.0,1
-5.0,11.0,0.0,1
-5.0,10.75,0.0,1
-5.0,10.5,0.0,1
-5.0,10.25,0.0,1
-5.0,10.0,0.0,1
-5.0,9.75,0.0,1
-5.0,9.5,0.0,1
-5.0,9.25,0.0,1
-5.0,9.0,0.0,1
-5.0,8.75,0.0,1
-5.0,8.5,0.0,1
-5.0,8.25,0.0,1
-5.0,8.0,0.0,1
-5.0,7.75,0.0,1
-5.0,7.5,0.0,1
-5.0,7.25,0.0,1
-5.0,7.0,0.0,1
-5.0,6.75,0.0,1
-5.0,6.5,0.0,1
-5.0,6.25,0.0,1
-5.0,6.0,0.0,1
-5.0,5.75,0.0,1
-5.0,5.5,0.0,1
-5.0,5.25,0.0,1
-5.0,5.0,0.0,1
-5.0,4.75,0.0,1
-5.0,4.5,0.0,1
-5.0,4.25,0.0,1
-5.0,4.0,0.0,1
-5.0,3.75,0.0,1
-5.0,3.5,0.0,1
-5.0,3.25,0.0,1
-5.0,3.0,0.0,1
-4.75,12.0,0.0,1
-4.75,11.75,0.0,1
-4.75,11.5,0.0,1
-4.75,11.25,0.0,1
-4.75,11.0,0.0,1
-4.75,10.75,0.0,1
-4.75,10.5,0.0,1
-4.75,10.25,0.0,1
-4.75,10.0,0.0,1
-4.75,9.75,0.0,1
-4.75,9.5,0.0,1
-4.75,9.25,0.0,1
-4.75,9.0,0.0,1
-4.75,8.75,0.0,1
-4.75,8.5,0.0,1
-4.75,8.25,0.0,1
-4.75,8.0,0.0,1
-4.75,7.75,0.0,1
-4.75,7.5,0.0,1
-4.75,7.25,0.0,1
-4.75,7.0,0.0,1
-4.75,6.75,0.0,1
-4.75,6.5,0.0,1
-4.75,6.25,0.0,1
-4.75,6.0,0.0,1
-4.75,5.75,0.0,1
-4.75,5.5,0.0,1
-4.75,5.25,0.0,1
-4.75,5.0,0.0,1
-4.75,4.75,0.0,1
-4.75,4.5,0.0,1
-4.75,4.25,0.0,1
-4.75,4.0,0.0,1
-4.75,3.75,0.0,1
-4.75,3.5,0.0,1
-4.75,3.25,0.0,1
-4.75,3.0,0.0,1
-4.5,12.0,0.0,1
-4.5,11.75,0.0,1
-4.5,11.5,0.0,1
-4.5,11.25,0.0,1
-4.5,11.0,0.0,1
-4.5,10.75,0.0,1
-4.5,10.5,0.0,1
-4.5,10.25,0.0,1
-4.5,10.0,0.0,1
-4.5,9.75,0.0,1
-4.5,9.5,0.0,1
-4.5,9.25,0.0,1
-4.5,9.0,0.0,1
-4.5,8.75,0.0,1
-4.5,8.5,0.0,1
-4.5,8.25,0.0,1
-4.5,8.0,0.0,1
-4.5,7.75,0.0,1
-4.5,7.5,0.0,1
-4.5,7.25,0.0,1
-4.5,7.0,0.0,1
-4.5,6.75,0.0,1
-4.5,6.5,0.0,1
-4.5,6.25,0.0,1
-4.5,6.0,0.0,1
-4.5,5.75,0.0,1
-4.5,5.5,0.0,1
-4.5,5.25,0.0,1
-4.5,5.0,0.0,1
-4.5,4.75,0.0,1
-4.5,4.5,0.0,1
-4.5,4.25,0.0,1
-4.5,4.0,0.0,1
-4.5,3.75,0.0,1
-4.5,3.5,0.0,1
-4.5,3.25,0.0,1
-4.5,3.0,0.0,1
-4.25,12.0,0.0,1
-4.25,11.75,0.0,1
-4.25,11.5,0.0,1
-4.25,11.25,0.0,1
-4.25,11.0,0.0,1
-4.25,10.75,0.0,1
-4.25,10.5,0.0,1
-4.25,10.25,0.0,1
-4.25,10.0,0.0,1
-4.25,9.75,0.0,1
-4.25,9.5,0.0,1
-4.25,9.25,0.0,1
-4.25,9.0,0.0,1
-4.25,8.75,0.0,1
-4.25,8.5,0.0,1
-4.25,8.25,0.0,1
-4.25,8.0,0.0,1
-4.25,7.75,0.0,1
-4.25,7.5,0.0,1
-4.25,7.25,0.0,1
-4.25,7.0,0.0,1
-4.25,6.75,0.0,1
-4.25,6.5,0.0,1
-4.25,6.25,0.0,1
-4.25,6.0,0.0,1
-4.25,5.75,0.0,1
-4.25,5.5,0.0,1
-4.25,5.25,0.0,1
-4.25,5.0,0.0,1
-4.25,4.75,0.0,1
-4.25,4.5,0.0,1
-4.25,4.25,0.0,1
-4.25,4.0,0.0,1
-4.25,3.75,0.0,1
-4.25,3.5,0.0,1
-4.25,3.25,0.0,1
-4.25,3.0,0.0,1
-4.0,12.0,0.0,1
-4.0,11.75,0.0,1
-4.0,11.5,0.0,1
-4.0,11.25,0.0,1
-4.0,11.0,0.0,1
-4.0,10.75,0.0,1
-4.0,10.5,0.0,1
-4.0,10.25,0.0,1
-4.0,10.0,0.0,1
-4.0,9.75,0.0,1
-4.0,9.5,0.0,1
-4.0,9.25,0.0,1
-4.0,9.0,0.0,1
-4.0,8.75,0.0,1
-4.0,8.5,0.0,1
-4.0,8.25,0.0,1
-4.0,8.0,0.0,1
-4.0,7.75,0.0,1
-4.0,7.5,0.0,1
-4.0,7.25,0.0,1
-4.0,7.0,0.0,1
-4.0,6.75,0.0,1
-4.0,6.5,0.0,1
-4.0,6.25,0.0,1
-4.0,6.0,0.0,1
-4.0,5.75,0.0,1
-4.0,5.5,0.0,1
-4.0,5.25,0.0,1
-4.0,5.0,0.0,1
-4.0,4.75,0.0,1
-4.0,4.5,0.0,1
-4.0,4.25,0.0,1
-4.0,4.0,0.0,1
-4.0,3.75,0.0,1
-4.0,3.5,0.0,1
-4.0,3.25,0.0,1
-4.0,3.0,0.0,1
-3.75,12.0,0.0,1
-3.75,11.75,0.0,1
-3.75,11.5,0.0,1
-3.75,11.25,0.0,1
-3.75,11.0,0.0,1
-3.75,10.75,0.0,1
-3.75,10.5,0.0,1
-3.75,10.25,0.0,1
-3.75,10.0,0.0,1
-3.75,9.75,0.0,1
-3.75,9.5,0.0,1
